"year","warehouse_name","product_id","product_name","net_qty"
"2025","Mecca carton 2 WH/ مخزن مكة2 كرتون: Receipts","349","Core Loose/كور - مفلول","3.4900"
"2025","Mecca carton 2 WH/ مخزن مكة2 كرتون: Receipts","351","Duplex Loose/دوبلكس - مفلول","6.7500"
"2025","Mecca carton 2 WH/ مخزن مكة2 كرتون: Receipts","361","Mw Loose/مخلفات ميكس مفلول","206.2900"
"2025","Mecca carton 2 WH/ مخزن مكة2 كرتون: Receipts","363","Occ Loose/كرتون مفلول","14903.9600"
"2025","Mecca carton 2 WH/ مخزن مكة2 كرتون: Receipts","380","Plastic Mix Loose/بلاستيك ميكس مفلول","3.3000"
"2025","Mecca carton 2 WH/ مخزن مكة2 كرتون: Receipts","394","Scrap Mix/سكراب ميكس","4.8600"
"2025","Mecca plastic 1 WH/ مخزن مكة1 بلاستيك: Receipts","331","Plastic Mix Bales/بلاستيك ميكس - مكبوس","164.8300"
"2025","Mecca plastic 1 WH/ مخزن مكة1 بلاستيك: Receipts","363","Occ Loose/كرتون مفلول","0.0000"
"2025","Mecca plastic 1 WH/ مخزن مكة1 بلاستيك: Receipts","380","Plastic Mix Loose/بلاستيك ميكس مفلول","1401.0400"
"2025","Qassim WH/ مخزن القصيم: Receipts","323","Occ Bales/كرتون مكبوس","1396.7900"
"2025","Qassim WH/ مخزن القصيم: Receipts","326","Plastic LD Bales/بلاستيك ال دي - مكبوس","2.6800"
"2025","Qassim WH/ مخزن القصيم: Receipts","339","Steel Wire (Packing material) /اسلاك تربيط","65.6700"
"2025","Qassim WH/ مخزن القصيم: Receipts","343","Aluminium Mix/الومنيوم ميكس","0.0100"
"2025","Qassim WH/ مخزن القصيم: Receipts","349","Core Loose/كور - مفلول","5.2400"
"2025","Qassim WH/ مخزن القصيم: Receipts","350","Cup Cutting LOOSE/اكواب ورق - مفلول","3.7200"
"2025","Qassim WH/ مخزن القصيم: Receipts","351","Duplex Loose/دوبلكس - مفلول","7.4200"
"2025","Qassim WH/ مخزن القصيم: Receipts","352","Foil Aluminium/الومنيوم فويل","0.1000"
"2025","Qassim WH/ مخزن القصيم: Receipts","361","Mw Loose/مخلفات ميكس مفلول","255.2000"
"2025","Qassim WH/ مخزن القصيم: Receipts","363","Occ Loose/كرتون مفلول","7454.6300"
"2025","Qassim WH/ مخزن القصيم: Receipts","367","Plastic HD Loose/بلاستيك اتش دي مفلول","159.7600"
"2025","Qassim WH/ مخزن القصيم: Receipts","375","Plastic LD Loose/بلاستيك ال دي مفلول","6.3100"
"2025","Qassim WH/ مخزن القصيم: Receipts","380","Plastic Mix Loose/بلاستيك ميكس مفلول","48.8100"
"2025","Qassim WH/ مخزن القصيم: Receipts","383","Plastic PET Loose/بلاستيك بي اي تي مفلول","3.9500"
"2025","Qassim WH/ مخزن القصيم: Receipts","386","Plastic PP Loose/بلاستيك بي بي مفلول","42.1000"
"2025","Qassim WH/ مخزن القصيم: Receipts","393","Scrap Foam Loose/سكراب فوم - مفلول","7.2700"
"2025","Qassim WH/ مخزن القصيم: Receipts","394","Scrap Mix/سكراب ميكس","4.7900"
"2025","Qassim WH/ مخزن القصيم: Receipts","405","Tissue Loose/مناديل - مفلول","4.5600"
"2025","Qassim WH/ مخزن القصيم: Receipts","447","NCC Bales/كرتون جديد مكبوس","1117.3400"
"2025","Shifa WH/ مخزن الشفا: Receipts","349","Core Loose/كور - مفلول","3.0800"
"2025","Shifa WH/ مخزن الشفا: Receipts","351","Duplex Loose/دوبلكس - مفلول","6.1400"
"2025","Shifa WH/ مخزن الشفا: Receipts","361","Mw Loose/مخلفات ميكس مفلول","22.4400"
"2025","Shifa WH/ مخزن الشفا: Receipts","363","Occ Loose/كرتون مفلول","5254.9740"
"2025","Shifa WH/ مخزن الشفا: Receipts","375","Plastic LD Loose/بلاستيك ال دي مفلول","0.1600"
"2025","Shifa WH/ مخزن الشفا: Receipts","380","Plastic Mix Loose/بلاستيك ميكس مفلول","9.2200"
"2025","Shifa WH/ مخزن الشفا: Receipts","394","Scrap Mix/سكراب ميكس","0.1700"
"2025","WH/ مخزن الجودة المناخ: Receipts","443","Purchase discount/خصم مشتريات","0.0000"
"2025","WH/ مخزن الجودة المناخ: Receipts","454","HABER5193 starch modified enzyme (J)","90.0000"
"2025","WH/ مخزن الجودة المناخ: Receipts","455","MODIFIED STARCH (PREGELATINSED STARCH) (J)","51000.0000"
"2025","WH/ مخزن الجودة المناخ: Receipts","456","FN002 FENAZOL BROWN OSK (J)","36500.0000"
"2025","WH/ مخزن الجودة المناخ: Receipts","457","CORE PLUG DIA 76MM (J)","36000.0000"
"2025","WH/ مخزن الجودة المناخ: Receipts","458","CORE PLUG DIA 102MM (J)","14000.0000"
"2025","WH/ مخزن الجودة المناخ: Receipts","462","SPARE PARTS FOR 200 TPD TESTLINER/FLUTING PAPER PROJECT (J)","2.0000"
"2025","WH/ مخزن الجودة المناخ: Receipts","463","Paper Machine clothing - SSB Forming Fabric (J)","1.0000"
"2025","WH/ مخزن الجودة المناخ: Receipts","464","Paper Machine clothing - Felt (J)","1.0000"
"2025","WH/ مخزن الجودة المناخ: Receipts","465","Paper Machine clothing - Woven Dryer Screen (J)","1.0000"
"2025","WH/ مخزن الجودة المناخ: Receipts","466","Paper Machine clothing - Spiral Dryer Screen (Belt Press) (J)","1.0000"
"2025","WH/ مخزن الجودة المناخ: Receipts","468","Paper Carrier Rope (J)","3.0000"
"2025","WH/ مخزن الجودة المناخ: Receipts","474","ADSF2209144-02-01wedge wire screen basket (J)","1.0000"
"2025","WH/ مخزن الجودة المناخ: Receipts","475","ADSF2309011-04-01 wedge wire screen basket (J)","1.0000"
"2025","WH/ مخزن الجودة المناخ: Receipts","476","ADSF2309011-02-02 wedge wire screen basket (J)","1.0000"
"2025","WH/ مخزن الجودة المناخ: Receipts","477","ADSF2309011-02-01 wedge wire screen basket (J)","1.0000"
"2025","WH/ مخزن الجودة المناخ: Receipts","478","ADSF2309003-01-01 Drilled hole screen basket (J)","1.0000"
"2025","WH/ مخزن الجودة المناخ: Receipts","479","ADSF2309011-03-01 wedge wire screen basket (J)","1.0000"
"2025","WH/ مخزن الجودة المناخ: Receipts","480","ADSF2209149-06-01 wedge wire screen basket (J)","1.0000"
"2025","WH/ مخزن الجودة المناخ: Receipts","481","Vibrating screen - ZSK2 3KW MOTOR (J)","1.0000"
"2025","Wood Project WH/ مخزن مشروع الاخشاب (بريدة): Receipts","355","Iron Light/حديد خفيف","0.9200"
"2025","Wood Project WH/ مخزن مشروع الاخشاب (بريدة): Receipts","367","Plastic HD Loose/بلاستيك اتش دي مفلول","0.2250"
"2025","Wood Project WH/ مخزن مشروع الاخشاب (بريدة): Receipts","439","WOODEN BLANK (BUR)/خشب مشروع بريدة","292.2690"
"2026","burayda Beqala WH/ مخزن البقالة: Receipts","363","Occ Loose/كرتون مفلول","159.3100"
"2026","burayda Beqala WH/ مخزن البقالة: Receipts","380","Plastic Mix Loose/بلاستيك ميكس مفلول","10.1100"
"2026","burayda Beqala WH/ مخزن البقالة: Receipts","394","Scrap Mix/سكراب ميكس","121.5334"
"2026","Exit 18 WH/ مخزن مخرج 18: Receipts","349","Core Loose/كور - مفلول","11.5500"
"2026","Exit 18 WH/ مخزن مخرج 18: Receipts","351","Duplex Loose/دوبلكس - مفلول","2.3000"
"2026","Exit 18 WH/ مخزن مخرج 18: Receipts","361","Mw Loose/مخلفات ميكس مفلول","4.6500"
"2026","Exit 18 WH/ مخزن مخرج 18: Receipts","363","Occ Loose/كرتون مفلول","456.2100"
"2026","Exit 18 WH/ مخزن مخرج 18: Receipts","380","Plastic Mix Loose/بلاستيك ميكس مفلول","4.4000"
"2026","Manakh WH/مخزن المناخ: Receipts","323","Occ Bales/كرتون مكبوس","705.8470"
"2026","Manakh WH/مخزن المناخ: Receipts","339","Steel Wire (Packing material) /اسلاك تربيط","28.0900"
"2026","Manakh WH/مخزن المناخ: Receipts","349","Core Loose/كور - مفلول","37.4500"
"2026","Manakh WH/مخزن المناخ: Receipts","351","Duplex Loose/دوبلكس - مفلول","2.3200"
"2026","Manakh WH/مخزن المناخ: Receipts","361","Mw Loose/مخلفات ميكس مفلول","53.6200"
"2026","Manakh WH/مخزن المناخ: Receipts","363","Occ Loose/كرتون مفلول","1621.4000"
"2026","Manakh WH/مخزن المناخ: Receipts","380","Plastic Mix Loose/بلاستيك ميكس مفلول","12.6800"
"2026","Manakh WH/مخزن المناخ: Receipts","394","Scrap Mix/سكراب ميكس","2.2000"
"2026","Manakh WH/مخزن المناخ: Receipts","404","Tetra Pack(MW Loose)/تتراباك - مفلول","0.6000"
